"AIC";"Stability";"Predictor";"ID"
"318";732.534948465723;"Absolute distance";"Spatial 
 structure";36
"319";719.066420908323;"Relative distance";"Cover";36
"320";646.253323871229;"Relative distance";"Cover + Spatial 
 structure";36
"321";754.169548052473;"Relative distance";"Spatial 
 structure";36
"322";802.464067775536;"Size tipping";"Cover";36
"323";759.959662699301;"Size tipping";"Cover + Spatial 
 structure";36
"324";781.328661732538;"Size tipping";"Spatial 
 structure";36
"325";728.792604971455;"Absolute distance";"Cover";37
"326";670.223231523816;"Absolute distance";"Cover + Spatial 
 structure";37
"327";734.817437279704;"Absolute distance";"Spatial 
 structure";37
"328";679.579166079844;"Relative distance";"Cover";37
"329";614.160637205835;"Relative distance";"Cover + Spatial 
 structure";37
"330";749.13154302376;"Relative distance";"Spatial 
 structure";37
"331";810.28516175045;"Size tipping";"Cover";37
"332";779.375874391895;"Size tipping";"Cover + Spatial 
 structure";37
"333";795.205898332349;"Size tipping";"Spatial 
 structure";37
"334";774.897986722537;"Absolute distance";"Cover";38
"335";673.413139970525;"Absolute distance";"Cover + Spatial 
 structure";38
"336";760.552432455319;"Absolute distance";"Spatial 
 structure";38
"337";673.925494010685;"Relative distance";"Cover";38
"338";622.027541930226;"Relative distance";"Cover + Spatial 
 structure";38
"339";749.400470043571;"Relative distance";"Spatial 
 structure";38
"340";804.970610125766;"Size tipping";"Cover";38
"341";770.664343565994;"Size tipping";"Cover + Spatial 
 structure";38
"342";780.72093713505;"Size tipping";"Spatial 
 structure";38
"343";754.165461763311;"Absolute distance";"Cover";39
"344";695.537107891194;"Absolute distance";"Cover + Spatial 
 structure";39
"345";775.80140648977;"Absolute distance";"Spatial 
 structure";39
"346";656.739678922241;"Relative distance";"Cover";39
"347";601.508345949327;"Relative distance";"Cover + Spatial 
 structure";39
"348";738.25380266222;"Relative distance";"Spatial 
 structure";39
"349";779.999084611227;"Size tipping";"Cover";39
"350";741.2931622556;"Size tipping";"Cover + Spatial 
 structure";39
"351";764.206419394908;"Size tipping";"Spatial 
 structure";39
"352";730.444193325414;"Absolute distance";"Cover";40
"353";683.899673423657;"Absolute distance";"Cover + Spatial 
 structure";40
"354";767.29698930323;"Absolute distance";"Spatial 
 structure";40
"355";701.223684560985;"Relative distance";"Cover";40
"356";644.433029699159;"Relative distance";"Cover + Spatial 
 structure";40
"357";758.701754132044;"Relative distance";"Spatial 
 structure";40
"358";810.671132254138;"Size tipping";"Cover";40
"359";775.508432104562;"Size tipping";"Cover + Spatial 
 structure";40
"360";783.231871090382;"Size tipping";"Spatial 
 structure";40
"361";760.49181088291;"Absolute distance";"Cover";41
"362";650.195701926989;"Absolute distance";"Cover + Spatial 
 structure";41
"363";758.015301870569;"Absolute distance";"Spatial 
 structure";41
"364";712.526350469745;"Relative distance";"Cover";41
"365";664.836128639213;"Relative distance";"Cover + Spatial 
 structure";41
"366";761.928567694941;"Relative distance";"Spatial 
 structure";41
"367";775.643072359516;"Size tipping";"Cover";41
"368";745.121279354769;"Size tipping";"Cover + Spatial 
 structure";41
"369";765.107269326561;"Size tipping";"Spatial 
 structure";41
"370";747.802411269821;"Absolute distance";"Cover";42
"371";667.57254830479;"Absolute distance";"Cover + Spatial 
 structure";42
"372";772.634970351911;"Absolute distance";"Spatial 
 structure";42
"373";636.334631612443;"Relative distance";"Cover";42
"374";575.698560224555;"Relative distance";"Cover + Spatial 
 structure";42
"375";722.330037869135;"Relative distance";"Spatial 
 structure";42
"376";770.963714248419;"Size tipping";"Cover";42
"377";732.176260608447;"Size tipping";"Cover + Spatial 
 structure";42
"378";757.108548349432;"Size tipping";"Spatial 
 structure";42
