"AIC";"Stability";"Predictor";"ID"
"237";520.315184455117;"Absolute distance";"Spatial 
 structure";40
"238";387.573703990784;"Relative distance";"Cover";40
"239";337.413566663812;"Relative distance";"Cover + Spatial 
 structure";40
"240";505.433342365623;"Relative distance";"Spatial 
 structure";40
"241";519.091806298959;"Absolute distance";"Cover";41
"242";455.569773224895;"Absolute distance";"Cover + Spatial 
 structure";41
"243";588.65033333729;"Absolute distance";"Spatial 
 structure";41
"244";406.828714445292;"Relative distance";"Cover";41
"245";353.563404775152;"Relative distance";"Cover + Spatial 
 structure";41
"246";587.595141732277;"Relative distance";"Spatial 
 structure";41
"247";504.753039313426;"Absolute distance";"Cover";42
"248";463.242288628816;"Absolute distance";"Cover + Spatial 
 structure";42
"249";542.900962022611;"Absolute distance";"Spatial 
 structure";42
"250";403.16029688194;"Relative distance";"Cover";42
"251";366.452285727231;"Relative distance";"Cover + Spatial 
 structure";42
"252";525.612231621293;"Relative distance";"Spatial 
 structure";42
"253";526.305496148301;"Absolute distance";"Cover";43
"254";421.668715651085;"Absolute distance";"Cover + Spatial 
 structure";43
"255";469.612389324469;"Absolute distance";"Spatial 
 structure";43
"256";423.486449545179;"Relative distance";"Cover";43
"257";331.774855933456;"Relative distance";"Cover + Spatial 
 structure";43
"258";450.720941215471;"Relative distance";"Spatial 
 structure";43
"259";539.665308847877;"Absolute distance";"Cover";44
"260";477.296521390966;"Absolute distance";"Cover + Spatial 
 structure";44
"261";504.856846569664;"Absolute distance";"Spatial 
 structure";44
"262";439.600893844237;"Relative distance";"Cover";44
"263";383.687747684352;"Relative distance";"Cover + Spatial 
 structure";44
"264";468.250571240341;"Relative distance";"Spatial 
 structure";44
"265";600.385923489867;"Absolute distance";"Cover";45
"266";539.383796768197;"Absolute distance";"Cover + Spatial 
 structure";45
"267";617.304857644707;"Absolute distance";"Spatial 
 structure";45
"268";493.252954330075;"Relative distance";"Cover";45
"269";433.916136874992;"Relative distance";"Cover + Spatial 
 structure";45
"270";586.87027618725;"Relative distance";"Spatial 
 structure";45
"271";512.326007465846;"Absolute distance";"Cover";46
"272";439.259233197461;"Absolute distance";"Cover + Spatial 
 structure";46
"273";537.166631797845;"Absolute distance";"Spatial 
 structure";46
"274";408.092553789678;"Relative distance";"Cover";46
"275";345.3585464742;"Relative distance";"Cover + Spatial 
 structure";46
"276";532.65425814948;"Relative distance";"Spatial 
 structure";46
"277";599.255165730145;"Absolute distance";"Cover";47
"278";531.597472049673;"Absolute distance";"Cover + Spatial 
 structure";47
"279";566.694657894628;"Absolute distance";"Spatial 
 structure";47
"280";504.651434468804;"Relative distance";"Cover";47
"281";443.108016324095;"Relative distance";"Cover + Spatial 
 structure";47
"282";529.213342770465;"Relative distance";"Spatial 
 structure";47
"283";570.815860718117;"Absolute distance";"Cover";48
"284";536.247997547293;"Absolute distance";"Cover + Spatial 
 structure";48
"285";583.865396053641;"Absolute distance";"Spatial 
 structure";48
"286";467.765607436585;"Relative distance";"Cover";48
"287";439.232656008929;"Relative distance";"Cover + Spatial 
 structure";48
"288";547.302811012295;"Relative distance";"Spatial 
 structure";48
"289";564.628613524735;"Absolute distance";"Cover";49
"290";492.706821155767;"Absolute distance";"Cover + Spatial 
 structure";49
"291";567.47624136973;"Absolute distance";"Spatial 
 structure";49
"292";460.723696819265;"Relative distance";"Cover";49
"293";398.47449227624;"Relative distance";"Cover + Spatial 
 structure";49
"294";548.511705473373;"Relative distance";"Spatial 
 structure";49
"295";577.893054485491;"Absolute distance";"Cover";50
"296";546.531474537895;"Absolute distance";"Cover + Spatial 
 structure";50
"297";617.806994925842;"Absolute distance";"Spatial 
 structure";50
"298";467.158408353408;"Relative distance";"Cover";50
"299";436.856905212806;"Relative distance";"Cover + Spatial 
 structure";50
"300";580.820249154352;"Relative distance";"Spatial 
 structure";50
"301";600.045032601435;"Absolute distance";"Cover";51
"302";533.779637147371;"Absolute distance";"Cover + Spatial 
 structure";51
"303";579.540842853497;"Absolute distance";"Spatial 
 structure";51
"304";498.309196987187;"Relative distance";"Cover";51
"305";437.97912770076;"Relative distance";"Cover + Spatial 
 structure";51
"306";546.979819293086;"Relative distance";"Spatial 
 structure";51
"307";582.865824116135;"Absolute distance";"Cover";52
"308";536.055812244967;"Absolute distance";"Cover + Spatial 
 structure";52
"309";578.542227581145;"Absolute distance";"Spatial 
 structure";52
"310";484.199393818269;"Relative distance";"Cover";52
"311";440.008976931437;"Relative distance";"Cover + Spatial 
 structure";52
"312";543.894319993892;"Relative distance";"Spatial 
 structure";52
"313";589.78742968306;"Absolute distance";"Cover";53
"314";537.001486698476;"Absolute distance";"Cover + Spatial 
 structure";53
"315";602.569538742453;"Absolute distance";"Spatial 
 structure";53
"316";490.628368448457;"Relative distance";"Cover";53
"317";444.81721049274;"Relative distance";"Cover + Spatial 
 structure";53
"318";581.801893017713;"Relative distance";"Spatial 
 structure";53
"319";576.78929857103;"Absolute distance";"Cover";54
"320";526.119717209077;"Absolute distance";"Cover + Spatial 
 structure";54
"321";584.453887789656;"Absolute distance";"Spatial 
 structure";54
"322";474.5567017362;"Relative distance";"Cover";54
"323";428.334454055209;"Relative distance";"Cover + Spatial 
 structure";54
"324";544.255696291299;"Relative distance";"Spatial 
 structure";54
"325";568.317596909761;"Absolute distance";"Cover";55
"326";513.065382719413;"Absolute distance";"Cover + Spatial 
 structure";55
"327";597.094187170189;"Absolute distance";"Spatial 
 structure";55
"328";475.411392441709;"Relative distance";"Cover";55
"329";423.532464996011;"Relative distance";"Cover + Spatial 
 structure";55
"330";579.394992543949;"Relative distance";"Spatial 
 structure";55
"331";566.836008863273;"Absolute distance";"Cover";56
"332";490.044259993889;"Absolute distance";"Cover + Spatial 
 structure";56
"333";510.14562732335;"Absolute distance";"Spatial 
 structure";56
"334";476.572725316937;"Relative distance";"Cover";56
"335";412.921866311859;"Relative distance";"Cover + Spatial 
 structure";56
"336";488.848626272047;"Relative distance";"Spatial 
 structure";56
"337";602.748442687923;"Absolute distance";"Cover";57
"338";567.651946326584;"Absolute distance";"Cover + Spatial 
 structure";57
"339";641.659297292738;"Absolute distance";"Spatial 
 structure";57
"340";497.459611871625;"Relative distance";"Cover";57
"341";465.560475950474;"Relative distance";"Cover + Spatial 
 structure";57
"342";616.347607902311;"Relative distance";"Spatial 
 structure";57
"343";584.698038620656;"Absolute distance";"Cover";58
"344";515.847247992838;"Absolute distance";"Cover + Spatial 
 structure";58
"345";554.507850620535;"Absolute distance";"Spatial 
 structure";58
"346";488.983000207967;"Relative distance";"Cover";58
"347";426.407910286308;"Relative distance";"Cover + Spatial 
 structure";58
"348";522.892306603929;"Relative distance";"Spatial 
 structure";58
"349";566.640046553532;"Absolute distance";"Cover";59
"350";512.949287690808;"Absolute distance";"Cover + Spatial 
 structure";59
"351";580.386629531712;"Absolute distance";"Spatial 
 structure";59
"352";462.465601021393;"Relative distance";"Cover";59
"353";417.180434651945;"Relative distance";"Cover + Spatial 
 structure";59
"354";556.236387528172;"Relative distance";"Spatial 
 structure";59
"355";621.359411487622;"Absolute distance";"Cover";60
"356";558.081941426645;"Absolute distance";"Cover + Spatial 
 structure";60
"357";622.085030927472;"Absolute distance";"Spatial 
 structure";60
"358";510.227764808709;"Relative distance";"Cover";60
"359";450.020664594568;"Relative distance";"Cover + Spatial 
 structure";60
"360";580.429598334281;"Relative distance";"Spatial 
 structure";60
"361";621.5631096596;"Absolute distance";"Cover";61
"362";571.773479350673;"Absolute distance";"Cover + Spatial 
 structure";61
"363";650.840876474291;"Absolute distance";"Spatial 
 structure";61
"364";519.816650410325;"Relative distance";"Cover";61
"365";474.296883549028;"Relative distance";"Cover + Spatial 
 structure";61
"366";619.264144727279;"Relative distance";"Spatial 
 structure";61
"367";578.123635783124;"Absolute distance";"Cover";62
"368";524.151337325746;"Absolute distance";"Cover + Spatial 
 structure";62
"369";618.075478874559;"Absolute distance";"Spatial 
 structure";62
"370";484.456234773102;"Relative distance";"Cover";62
"371";437.169863461339;"Relative distance";"Cover + Spatial 
 structure";62
"372";608.678879902307;"Relative distance";"Spatial 
 structure";62
"373";548.143483634078;"Absolute distance";"Cover";63
"374";507.096180221031;"Absolute distance";"Cover + Spatial 
 structure";63
"375";567.434879751228;"Absolute distance";"Spatial 
 structure";63
"376";451.124725737515;"Relative distance";"Cover";63
"377";413.325337910608;"Relative distance";"Cover + Spatial 
 structure";63
"378";537.294740101548;"Relative distance";"Spatial 
 structure";63
"379";624.587759676172;"Absolute distance";"Cover";64
"380";572.75674596438;"Absolute distance";"Cover + Spatial 
 structure";64
"381";603.381100041864;"Absolute distance";"Spatial 
 structure";64
"382";537.604983094412;"Relative distance";"Cover";64
"383";490.569686587272;"Relative distance";"Cover + Spatial 
 structure";64
"384";569.90073949361;"Relative distance";"Spatial 
 structure";64
"385";569.056076282474;"Absolute distance";"Cover";65
"386";511.031240249262;"Absolute distance";"Cover + Spatial 
 structure";65
"387";585.76318194727;"Absolute distance";"Spatial 
 structure";65
"388";464.92348089181;"Relative distance";"Cover";65
"389";412.526376240521;"Relative distance";"Cover + Spatial 
 structure";65
"390";561.081929161459;"Relative distance";"Spatial 
 structure";65
"391";545.590722129286;"Absolute distance";"Cover";66
"392";511.592771075259;"Absolute distance";"Cover + Spatial 
 structure";66
"393";604.903394321029;"Absolute distance";"Spatial 
 structure";66
"394";454.021834120338;"Relative distance";"Cover";66
"395";424.32437724146;"Relative distance";"Cover + Spatial 
 structure";66
"396";589.175208182101;"Relative distance";"Spatial 
 structure";66
"397";551.461684932156;"Absolute distance";"Cover";67
"398";477.131692657537;"Absolute distance";"Cover + Spatial 
 structure";67
"399";544.598234152214;"Absolute distance";"Spatial 
 structure";67
"400";455.010199276916;"Relative distance";"Cover";67
"401";386.68169847626;"Relative distance";"Cover + Spatial 
 structure";67
"402";527.120468088578;"Relative distance";"Spatial 
 structure";67
"403";547.99467409008;"Absolute distance";"Cover";68
"404";492.744559520507;"Absolute distance";"Cover + Spatial 
 structure";68
"405";531.088310662996;"Absolute distance";"Spatial 
 structure";68
"406";444.912825707968;"Relative distance";"Cover";68
"407";395.131423379889;"Relative distance";"Cover + Spatial 
 structure";68
"408";498.882667444706;"Relative distance";"Spatial 
 structure";68
"409";561.994487690329;"Absolute distance";"Cover";69
"410";513.450887311567;"Absolute distance";"Cover + Spatial 
 structure";69
"411";591.480697452363;"Absolute distance";"Spatial 
 structure";69
"412";458.979009567533;"Relative distance";"Cover";69
"413";415.830215173612;"Relative distance";"Cover + Spatial 
 structure";69
"414";561.837967020549;"Relative distance";"Spatial 
 structure";69
"415";569.367647162014;"Absolute distance";"Cover";70
"416";525.799629178928;"Absolute distance";"Cover + Spatial 
 structure";70
"417";587.762902315746;"Absolute distance";"Spatial 
 structure";70
"418";464.463447811432;"Relative distance";"Cover";70
"419";424.812430371926;"Relative distance";"Cover + Spatial 
 structure";70
"420";554.609112981053;"Relative distance";"Spatial 
 structure";70
"421";558.203244213557;"Absolute distance";"Cover";71
"422";496.725635053218;"Absolute distance";"Cover + Spatial 
 structure";71
"423";532.210232929289;"Absolute distance";"Spatial 
 structure";71
"424";459.168103187465;"Relative distance";"Cover";71
"425";406.407808777958;"Relative distance";"Cover + Spatial 
 structure";71
"426";499.120988281003;"Relative distance";"Spatial 
 structure";71
"427";528.426991404195;"Absolute distance";"Cover";72
"428";469.410594891383;"Absolute distance";"Cover + Spatial 
 structure";72
"429";510.885539202169;"Absolute distance";"Spatial 
 structure";72
"430";427.500228690515;"Relative distance";"Cover";72
"431";374.564656512089;"Relative distance";"Cover + Spatial 
 structure";72
"432";477.341667122068;"Relative distance";"Spatial 
 structure";72
"433";583.440178161288;"Absolute distance";"Cover";73
"434";558.618669336856;"Absolute distance";"Cover + Spatial 
 structure";73
"435";621.743943701094;"Absolute distance";"Spatial 
 structure";73
"436";481.849212985877;"Relative distance";"Cover";73
"437";460.40930812671;"Relative distance";"Cover + Spatial 
 structure";73
"438";585.847715102402;"Relative distance";"Spatial 
 structure";73
"439";567.651814767419;"Absolute distance";"Cover";74
"440";485.45477315267;"Absolute distance";"Cover + Spatial 
 structure";74
"441";539.272191425763;"Absolute distance";"Spatial 
 structure";74
"442";471.867601034268;"Relative distance";"Cover";74
"443";399.76718449466;"Relative distance";"Cover + Spatial 
 structure";74
"444";516.715893783931;"Relative distance";"Spatial 
 structure";74
"445";584.332327399814;"Absolute distance";"Cover";75
"446";533.366921407914;"Absolute distance";"Cover + Spatial 
 structure";75
"447";595.822294378613;"Absolute distance";"Spatial 
 structure";75
"448";482.963080389638;"Relative distance";"Cover";75
"449";437.819167538222;"Relative distance";"Cover + Spatial 
 structure";75
"450";565.650534799786;"Relative distance";"Spatial 
 structure";75
"451";527.833644833424;"Absolute distance";"Cover";76
"452";481.611597199024;"Absolute distance";"Cover + Spatial 
 structure";76
"453";570.657398312676;"Absolute distance";"Spatial 
 structure";76
"454";418.501098417867;"Relative distance";"Cover";76
"455";374.753230050554;"Relative distance";"Cover + Spatial 
 structure";76
"456";547.564342260755;"Relative distance";"Spatial 
 structure";76
"457";557.231400853466;"Absolute distance";"Cover";77
"458";495.327454608521;"Absolute distance";"Cover + Spatial 
 structure";77
"459";560.885467735599;"Absolute distance";"Spatial 
 structure";77
"460";454.858587478813;"Relative distance";"Cover";77
"461";400.485051846417;"Relative distance";"Cover + Spatial 
 structure";77
"462";539.166362084804;"Relative distance";"Spatial 
 structure";77
"463";549.704038282079;"Absolute distance";"Cover";78
"464";509.238686709205;"Absolute distance";"Cover + Spatial 
 structure";78
"465";589.207255741586;"Absolute distance";"Spatial 
 structure";78
"466";449.053990650509;"Relative distance";"Cover";78
