"ID_sim";"pcrit";"pinfer";"qinfer";"Size_tipping";"Site";"aridity";"Sand";"MF"
"120";20;0.283182139886986;0.288182139886986;0.951287399202994;0.23738125;10;0.7716;2.784452477;0.709906931
"121";21;NA;0.307407111526172;0.936058684110098;NA;10;0.7716;2.784452477;0.709906931
"122";22;0.334981114934093;0.339981114934093;0.907553799055493;0.4271;10;0.7716;2.784452477;0.709906931
"123";23;0.385;0.392463180160579;0.846725994566215;0.05165625;10;0.7716;2.784452477;0.709906931
"124";24;NA;0.250821339384762;0.973633496422112;NA;10;0.7716;2.784452477;0.709906931
"125";25;0.346647837637121;0.351647837637121;0.894517531043988;0.18095625;10;0.7716;2.784452477;0.709906931
"126";26;0.346647837637121;0.351647837637121;0.894517531043988;0.1634375;10;0.7716;2.784452477;0.709906931
"127";27;0.351555460956837;0.356555460956837;0.887717386573438;0.0623625;10;0.7716;2.784452477;0.709906931
"128";28;0.258649082107502;0.263649082107502;0.967546475396605;0.43163125;10;0.7716;2.784452477;0.709906931
"129";29;0.324905421408461;0.329905421408461;0.916811022003037;0.2004625;10;0.7716;2.784452477;0.709906931
"130";30;NA;0.223628008545313;0.987164930661359;NA;10;0.7716;2.784452477;0.709906931
"131";31;0.330426743389426;0.335426743389426;0.910236273647315;0.1303875;10;0.7716;2.784452477;0.709906931
"132";32;NA;0.310892674754775;0.933133320742103;NA;10;0.7716;2.784452477;0.709906931
"133";33;NA;0.308065554454116;0.935472998005636;NA;10;0.7716;2.784452477;0.709906931
"134";34;0.35;0.356548050086517;0.888804668633769;0.03784375;10;0.7716;2.784452477;0.709906931
"135";35;0.351548050086517;0.356548050086517;0.888804668633769;0.0800625;10;0.7716;2.784452477;0.709906931
"136";36;0.337020955349444;0.342020955349444;0.904872248138721;0.2628625;10;0.7716;2.784452477;0.709906931
"137";37;0.334981114934093;0.339981114934093;0.907553799055493;0.37894375;10;0.7716;2.784452477;0.709906931
"138";38;0.258649082107502;0.263649082107502;0.967546475396605;0.50215625;10;0.7716;2.784452477;0.709906931
"139";39;NA;0.310892674754775;0.933133320742103;NA;10;0.7716;2.784452477;0.709906931
"140";40;0.35;0.358059698786784;0.890159854112941;0.22263125;10;0.7716;2.784452477;0.709906931
"141";41;0.325;0.330536100194985;0.915561486726691;0.18834375;10;0.7716;2.784452477;0.709906931
"142";42;0.319644743993944;0.324644743993944;0.921605325758617;0.09919375;10;0.7716;2.784452477;0.709906931
"143";43;0.387463180160579;0.392463180160579;0.846725994566215;0.2604375;10;0.7716;2.784452477;0.709906931
"144";44;0.387463180160579;0.392463180160579;0.846725994566215;0.1573625;10;0.7716;2.784452477;0.709906931
"145";45;0.258649082107502;0.263649082107502;0.967546475396605;0.5030125;10;0.7716;2.784452477;0.709906931
"146";46;0.377077460443724;0.382077460443724;0.86034317657487;0.26263125;10;0.7716;2.784452477;0.709906931
