"Site_ID";"RCP";"mean_trend"
"367";184;"rcp45";0.000803891075208657
"368";184;"rcp85";0.00133983596041476
"369";185;"rcp45";0.000803891075208657
"370";185;"rcp85";0.00133983596041476
"371";186;"rcp45";0.000803891075208657
"372";186;"rcp85";0.00133983596041476
"373";187;"rcp45";0.000687433952802614
"374";187;"rcp85";0.00112912217250702
"375";188;"rcp45";0.000687433952802614
"376";188;"rcp85";0.00112912217250702
"377";189;"rcp45";0.000687433952802614
"378";189;"rcp85";0.00112912217250702
"379";190;"rcp45";0.000401097487351853
"380";190;"rcp85";0.000608239686586932
"381";191;"rcp45";0.000401097487351853
"382";191;"rcp85";0.000608239686586932
"383";192;"rcp45";0.000401097487351853
"384";192;"rcp85";0.000608239686586932
"385";193;"rcp45";0.000310076886420484
"386";193;"rcp85";0.000441855251024807
"387";194;"rcp45";0.000310076886420484
"388";194;"rcp85";0.000441855251024807
"389";195;"rcp45";0.000523186029564344
"390";195;"rcp85";0.000806941859414494
"391";196;"rcp45";0.000523186029564344
"392";196;"rcp85";0.000806941859414494
"393";197;"rcp45";0.000523186029564344
"394";197;"rcp85";0.000806941859414494
"395";198;"rcp45";0.000278762321217481
"396";198;"rcp85";0.000386890506002279
"397";199;"rcp45";0.000278762321217481
"398";199;"rcp85";0.000386890506002279
"399";200;"rcp45";0.00057415719459342
"400";200;"rcp85";0.000904293347950315
"401";201;"rcp45";0.00057415719459342
"402";201;"rcp85";0.000904293347950315
"403";202;"rcp45";0.00057415719459342
"404";202;"rcp85";0.000904293347950315
"405";203;"rcp45";0.000370846544645384
"406";203;"rcp85";0.000607478539690227
"407";204;"rcp45";0.000370846544645384
"408";204;"rcp85";0.000607478539690227
"409";205;"rcp45";0.000370846544645384
"410";205;"rcp85";0.000607478539690227
"411";206;"rcp45";0.000386626114846118
"412";206;"rcp85";0.000638246979111853
"413";207;"rcp45";0.000386626114846118
"414";207;"rcp85";0.000638246979111853
"415";208;"rcp45";0.00049889557635814
"416";208;"rcp85";0.000922626824982624
"417";209;"rcp45";0.00049889557635814
"418";209;"rcp85";0.000922626824982624
"419";210;"rcp45";0.00049889557635814
"420";210;"rcp85";0.000922626824982624
"421";211;"rcp45";0.000366069584501218
"422";211;"rcp85";0.000616782981395557
"423";212;"rcp45";0.000366069584501218
"424";212;"rcp85";0.000616782981395557
"425";213;"rcp45";0.000366069584501218
"426";213;"rcp85";0.000616782981395557
"427";214;"rcp45";0.000397013923342208
"428";214;"rcp85";0.000657281305736726
"429";215;"rcp45";0.000397013923342208
"430";215;"rcp85";0.000657281305736726
"431";216;"rcp45";0.000369009521698435
"432";216;"rcp85";0.000617127206077124
"433";217;"rcp45";0.000369009521698435
"434";217;"rcp85";0.000617127206077124
"435";218;"rcp45";0.000390044228075628
"436";218;"rcp85";0.000655056274163031
"437";219;"rcp45";0.000390044228075628
"438";219;"rcp85";0.000655056274163031
"439";220;"rcp45";0.000390044228075628
"440";220;"rcp85";0.000655056274163031
"441";221;"rcp45";0.000371077355793064
"442";221;"rcp85";0.000634245604327114
"443";222;"rcp45";0.000371077355793064
"444";222;"rcp85";0.000634245604327114
"445";223;"rcp45";0.000371077355793064
"446";223;"rcp85";0.000634245604327114
"447";224;"rcp45";0.000184437208816781
"448";224;"rcp85";0.000373381281938574
"449";225;"rcp45";0.000184437208816781
"450";225;"rcp85";0.000373381281938574
"451";226;"rcp45";0.000184514381030672
"452";226;"rcp85";0.000373649737388301
"453";227;"rcp45";0.000184514381030672
"454";227;"rcp85";0.000373649737388301
"455";228;"rcp45";0.000184514381030672
"456";228;"rcp85";0.000373649737388301
"457";229;"rcp45";0.000184350839562505
"458";229;"rcp85";0.000372721879429374
"459";230;"rcp45";0.000184350839562505
"460";230;"rcp85";0.000372721879429374
"461";231;"rcp45";0.000184350839562505
"462";231;"rcp85";0.000372721879429374
"463";232;"rcp45";0.000184502654289436
"464";232;"rcp85";0.000373494645918947
"465";233;"rcp45";0.000184502654289436
"466";233;"rcp85";0.000373494645918947
"467";234;"rcp45";0.000184502654289436
"468";234;"rcp85";0.000373494645918947
"469";235;"rcp45";0.000184667510372438
"470";235;"rcp85";0.000374100037840252
"471";236;"rcp45";0.000184667510372438
"472";236;"rcp85";0.000374100037840252
"473";237;"rcp45";0.000184667510372438
"474";237;"rcp85";0.000374100037840252
"475";238;"rcp45";0.000184343550478631
"476";238;"rcp85";0.000372713381636287
"477";239;"rcp45";0.000184343550478631
"478";239;"rcp85";0.000372713381636287
"479";240;"rcp45";0.000184343550478631
"480";240;"rcp85";0.000372713381636287
"481";241;"rcp45";0.000408161890008292
"482";241;"rcp85";0.000608261020531656
