"p";"q";"Pooling";"Site_ID";"Method";"Type";"Scale_obs"
"1157";0.980634457701731;0.394261227293412;3;32;"Rejection";"Sim";3
"5458088";0.98957737770916;0.361043427167455;3;32;"Rejection";"Obs";3
"1158";0.977671462766519;0.393495904483142;2;32;"Rejection";"Sim";2
"5458087";0.98957737770916;0.361043427167455;2;32;"Rejection";"Obs";2
"1159";0.966966092743881;0.402535536504332;1;32;"Rejection";"Sim";1
"5458086";0.98957737770916;0.361043427167455;1;32;"Rejection";"Obs";1
"1160";0.770666501616459;0.683494950923915;5;33;"Rejection";"Sim";5
"1044545";0.735208095596144;0.709077394623564;5;33;"Rejection";"Obs";5
"1161";0.764575652401393;0.688345751305168;4;33;"Rejection";"Sim";4
"1044544";0.735208095596144;0.709077394623564;4;33;"Rejection";"Obs";4
"1162";0.778726287036685;0.67947763939456;3;33;"Rejection";"Sim";3
"1044543";0.735208095596144;0.709077394623564;3;33;"Rejection";"Obs";3
"1163";0.775888320521396;0.679887762653449;2;33;"Rejection";"Sim";2
"1044542";0.735208095596144;0.709077394623564;2;33;"Rejection";"Obs";2
"1164";0.765391133279931;0.686513174853888;1;33;"Rejection";"Sim";1
"1044541";0.735208095596144;0.709077394623564;1;33;"Rejection";"Obs";1
"1165";0.965780494615069;0.209745643632887;5;34;"Rejection";"Sim";5
"1341390";0.928356608202794;0.253810880945743;5;34;"Rejection";"Obs";5
"1166";0.963372242560099;0.213714725227899;4;34;"Rejection";"Sim";4
"1341389";0.928356608202794;0.253810880945743;4;34;"Rejection";"Obs";4
"1167";0.968540319625669;0.202851507948254;3;34;"Rejection";"Sim";3
"1341388";0.928356608202794;0.253810880945743;3;34;"Rejection";"Obs";3
"1168";0.967939804530628;0.203402350254438;2;34;"Rejection";"Sim";2
"1341387";0.928356608202794;0.253810880945743;2;34;"Rejection";"Obs";2
"1169";0.956730979882982;0.220697820565935;1;34;"Rejection";"Sim";1
"1341386";0.928356608202794;0.253810880945743;1;34;"Rejection";"Obs";1
"1170";0.945039039274637;0.715784774076996;5;35;"Rejection";"Sim";5
"703560";0.950319526554487;0.716496642479844;5;35;"Rejection";"Obs";5
"1171";0.951751995050616;0.712192080056234;4;35;"Rejection";"Sim";4
"703559";0.950319526554487;0.716496642479844;4;35;"Rejection";"Obs";4
"1172";0.926744273982494;0.723061895325405;3;35;"Rejection";"Sim";3
"703558";0.950319526554487;0.716496642479844;3;35;"Rejection";"Obs";3
"1173";0.91009749065206;0.728878047597823;2;35;"Rejection";"Sim";2
"703557";0.950319526554487;0.716496642479844;2;35;"Rejection";"Obs";2
"1174";0.844371471778494;0.756408243907537;1;35;"Rejection";"Sim";1
"703556";0.950319526554487;0.716496642479844;1;35;"Rejection";"Obs";1
"1175";0.394962894439673;0.889183549597709;5;36;"Rejection";"Sim";5
"5013910";0.387856091130397;0.895424240514649;5;36;"Rejection";"Obs";5
"1176";0.394353097811911;0.889690784151334;4;36;"Rejection";"Sim";4
"5013909";0.387856091130397;0.895424240514649;4;36;"Rejection";"Obs";4
"1177";0.395450376307895;0.889039821102576;2.99;36;"Rejection";"Sim";3
"5013908";0.387856091130397;0.895424240514649;3;36;"Rejection";"Obs";3
"1178";0.407410474132852;0.882737806344089;2;36;"Rejection";"Sim";2
"5013907";0.387856091130397;0.895424240514649;2;36;"Rejection";"Obs";2
"1179";0.414879895151179;0.879563017490477;1;36;"Rejection";"Sim";1
"5013906";0.387856091130397;0.895424240514649;1;36;"Rejection";"Obs";1
"1180";0.433337371572565;0.849582792256151;5;37;"Rejection";"Sim";5
"3915035";0.434342840769366;0.849899519555249;5;37;"Rejection";"Obs";5
"1181";0.436931830014687;0.846416428851382;4;37;"Rejection";"Sim";4
"3915034";0.434342840769366;0.849899519555249;4;37;"Rejection";"Obs";4
"1182";0.432744776511963;0.850304339706974;3;37;"Rejection";"Sim";3
"3915033";0.434342840769366;0.849899519555249;3;37;"Rejection";"Obs";3
"1183";0.433872200472872;0.849229483139983;2;37;"Rejection";"Sim";2
"3915032";0.434342840769366;0.849899519555249;2;37;"Rejection";"Obs";2
"1184";0.433336940727614;0.84955783422888;1;37;"Rejection";"Sim";1
"3915031";0.434342840769366;0.849899519555249;1;37;"Rejection";"Obs";1
"1185";0.635661915022628;0.706978459295962;5;38;"Rejection";"Sim";5
