"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"CV_PSD";"fmax_PSD";"Resolution";"ID"
"112";0.310896482067653;3.8708049311095;2.52175775524838;0.818654878718931;0.195279326113119;0.905311838283724;8.36270535670042;0.721852303446102;1.21148216999227;3.17768753210429;-1.88026978136851;"No change";11
"212";0.310903251560459;3.74255952380952;2.48804324544161;0.720881103140125;0.184706543259221;0.822947357953753;7.223640344687;0.767695537076889;1.24803257399184;2.88357497039991;-1.84742471509932;"/2";11
"312";0.310896482067653;3.61828908554572;2.45429656311082;0.626469260743657;0.175822159075921;0.740279159149384;6.16829048113992;0.788492523732889;1.29569331281166;2.77870031118075;-1.80969386467046;"/3";11
"113";0.67948347107438;3.51938455924834;1.64470850401737;-0.669358395866105;0.0823389878219424;0.239608531575373;4.27907874997913;0.777722911266819;1.33557503376534;7.1719831264669;-0.42817982265722;"No change";110
"213";0.67948347107438;2.76515273961532;1.40351824463229;-1.32098249572754;0.0232247404194742;0.33129017972266;2.49817765128107;1;1.39780184266676;3.81470954825245;-0.202389343208649;"/2";110
"313";0.680094243239299;2.00437158469945;1.08085448495703;-2.58455220302566;0.00891018566295914;0.2377898644293;1.45738860938769;NA;NA;NA;-0.0699449906944617;"/3";110
"114";0.714896694214876;3.6720904020115;1.63637832208182;-0.980329619302135;0.106632295458645;0.526187608386284;5.38882239074441;0.933513243814232;1.32469013362845;4.45803367132978;-0.36191295955487;"No change";111
"214";0.714896694214876;3.15748360998745;1.48539261475199;-2.11701546382603;0.0599221246646015;0.612206603280722;4.15165770881846;0.924508885945109;1.31102683092285;3.09333825897822;-0.219122720081362;"/2";111
"314";0.715789912637351;2.56932515337423;1.27801185137088;-2.9016625526238;0.0477936324078852;0.628542505890117;3.8162625986691;1;1.26792949829148;2.39505579327907;-0.135221692585615;"/3";111
"115";0.614605596587579;3.66149692603407;1.78464658324347;-0.417782608916133;0.147415580267683;0.625370119574209;5.97968083467446;0.537265949129075;1.31603891520353;11.5592584025862;-0.876177805608421;"No change";112
"215";0.614648352445928;3.32797267487369;1.68906827159785;-0.792760203564203;0.0828033072938798;0.525873658727268;4.69704730657477;0.762734340423898;1.38463244444221;9.47117958234552;-0.519304883500111;"/2";112
"315";0.614605596587579;3.13227921326649;1.62853544596974;-1.20645412786375;0.0475182396478693;0.530339368176942;3.34496141594658;0.848922691653559;1.49483394555393;5.69851097436286;-0.24300096462536;"/3";112
"116";0.681302924546168;3.66480032826378;1.68252210177745;-0.702605431501797;0.124868988740424;0.586362792906029;5.51754915373673;1;1.49035976283844;14.3088344183212;-0.598164162702471;"No change";113
"216";0.681666424735085;3.33635088614051;1.58809251474735;-1.16244066305331;0.059624005317661;0.430550953209857;4.03509357084198;1;1.72521550531549;8.46460421776225;-0.263587977044146;"/2";113
